SA1_CODE_2021,zone_tier,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
10601110701,core,0,0,8,0,0,3,0,5,0,16,0,0,3,5,0,0,0,0,0,13,0,3,26,0,0,0,13,9,0,61,9,0,15,0,0,0,16,6,0,46,4,5,10,3,0,0,8,4,0,34,0,0,7,0,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,62,10,5,10,56,24,4,189,0,0,0,0,0,8,0,3,0,15,0,4,0,8,0,0,0,0,0,13,8,10,5,8,6,10,4,6,0,58,0,10,4,10,8,5,5,3,0,36,4,3,3,0,7,3,0,5,0,24,0,3,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,13,30,19,27,6,19,0,161
10601110702,core,0,0,3,0,0,5,0,6,0,15,0,0,4,0,0,0,3,0,0,7,0,0,12,0,0,0,12,6,0,39,5,3,10,0,3,0,9,7,0,29,0,0,9,0,0,0,4,4,0,24,3,0,0,3,0,0,11,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,49,5,11,12,39,20,0,145,0,0,0,3,0,5,0,0,0,11,0,0,0,4,0,0,0,0,0,8,9,0,0,3,12,0,0,4,0,39,6,0,0,12,5,6,0,5,0,28,0,6,0,5,5,0,5,0,0,22,3,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,33,21,17,3,17,0,122
10601110703,core,0,0,6,0,0,0,0,0,0,9,0,0,3,0,0,0,4,9,0,21,3,4,24,0,0,0,17,6,0,58,0,7,13,3,0,0,16,6,0,51,8,6,9,5,0,0,6,0,0,35,0,5,4,4,8,7,9,3,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,67,10,8,6,55,23,0,212,0,0,0,0,0,6,0,3,0,14,3,4,0,5,3,0,4,0,0,21,8,10,4,17,11,4,5,4,0,61,7,14,0,8,7,3,0,5,0,52,0,9,4,7,7,3,3,3,0,38,0,4,0,7,5,3,0,0,0,28,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,8,56,41,23,17,20,3,217
10601110704,external,0,0,0,0,0,0,0,7,0,15,0,0,5,0,0,0,0,6,0,10,6,5,0,0,0,0,6,4,0,18,3,0,5,0,0,0,3,0,0,20,0,3,10,0,0,0,6,3,0,31,14,4,4,0,0,0,10,5,0,31,8,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,32,4,9,0,29,18,0,129,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,15,0,6,3,0,0,0,0,0,0,18,0,8,0,3,4,0,0,3,0,24,8,4,0,4,0,6,0,5,0,35,3,6,3,0,9,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,14,9,19,9,8,14,0,116
10601110705,external,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,8,6,0,5,6,0,0,5,5,0,18,6,0,8,3,0,0,6,6,0,27,6,3,14,0,0,0,5,0,0,22,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,28,6,3,0,16,18,0,105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,14,9,7,0,5,0,0,0,0,0,21,3,5,0,4,5,0,0,0,0,21,6,5,0,0,6,0,0,0,0,25,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,6,16,16,7,0,5,3,95
10601110706,core,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,5,0,0,14,9,4,8,0,0,0,0,0,0,23,3,0,9,0,0,4,0,5,0,23,0,0,5,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,34,5,3,3,12,9,0,89,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,8,12,8,4,0,0,3,0,0,0,0,17,4,6,0,4,0,5,0,4,0,26,5,0,0,5,6,0,0,0,0,17,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,7,14,15,10,4,8,5,99
10601110707,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,6,3,3,0,0,0,6,9,0,17,6,0,0,0,0,0,0,0,0,7,9,6,0,0,0,0,0,0,0,20,13,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,15,8,5,0,0,3,15,0,82,0,0,0,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,3,3,3,0,3,0,0,0,0,12,5,0,0,0,0,0,0,0,0,13,8,9,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,4,6,15,9,0,0,0,75
10601110708,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,3,0,0,0,0,0,0,0,12,4,0,4,3,0,0,5,0,0,18,4,0,5,0,0,0,8,0,0,22,0,7,5,0,0,0,4,0,0,18,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,16,6,3,3,17,7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,4,0,7,0,0,0,3,0,14,4,4,3,0,4,0,0,0,0,10,0,0,0,0,11,4,0,4,0,14,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3,11,14,4,0,12,0,67
10601110709,core,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,3,0,13,0,0,8,0,0,0,0,0,0,17,0,0,6,0,0,0,3,3,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,3,0,3,11,10,0,67,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,3,0,3,0,5,4,0,0,18,3,3,0,0,3,0,0,0,0,12,0,5,0,3,5,0,0,0,0,16,3,4,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4,7,12,13,0,5,0,65
10601110710,core,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,0,3,0,0,7,0,0,9,0,0,0,4,3,0,21,4,0,3,0,0,0,4,3,0,19,0,0,0,0,0,0,4,0,0,5,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,19,0,0,3,13,7,5,63,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,4,0,0,18,0,3,0,0,0,0,0,0,0,13,5,6,0,0,0,0,0,0,0,13,0,0,0,6,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,5,13,9,8,7,4,0,59
10601110712,core,0,0,7,0,0,0,0,5,0,9,0,0,6,0,0,3,0,5,0,14,0,0,5,0,0,4,4,4,0,20,0,6,14,0,0,4,14,0,0,36,0,5,3,5,0,0,8,4,3,27,0,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,34,4,0,10,34,17,3,125,0,0,0,0,0,7,0,6,0,12,0,4,0,0,5,3,0,0,0,12,0,0,0,9,0,0,0,0,0,18,3,9,3,3,4,3,3,0,0,26,0,5,0,8,3,0,0,0,0,20,3,5,0,0,0,3,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,7,26,11,14,3,9,0,100
10601110713,core,0,0,0,0,0,0,0,5,0,11,0,0,4,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,14,4,4,4,0,0,0,8,0,0,17,0,0,8,0,0,0,3,0,0,15,0,0,4,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,23,0,3,3,14,8,0,71,0,0,0,0,0,0,0,3,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,5,0,5,0,3,0,0,0,18,0,5,0,4,3,3,0,5,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,22,12,3,5,12,0,66
10601110714,core,0,0,4,4,0,0,0,5,0,13,0,0,3,0,0,0,3,3,0,13,3,4,25,0,0,0,4,0,0,43,5,0,14,0,3,0,7,4,0,37,0,4,3,3,0,0,9,4,0,30,0,3,11,0,0,0,7,5,0,29,5,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,54,10,3,12,38,22,7,170,0,0,0,0,0,6,0,5,0,15,0,0,0,3,0,6,0,0,0,14,5,10,0,8,4,0,5,0,0,39,0,8,0,7,4,5,10,5,0,36,5,0,0,9,4,3,0,4,0,25,0,5,6,5,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,18,26,24,23,17,17,5,166
10601110716,external,0,0,8,0,0,0,0,6,0,18,0,0,11,0,0,0,0,0,3,21,0,3,14,0,0,0,5,3,0,26,11,5,19,0,0,0,8,0,0,54,11,5,12,0,0,3,17,0,4,56,6,0,13,0,0,0,4,6,0,44,0,0,3,0,0,0,5,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,84,10,6,8,41,19,7,228,0,0,0,5,0,4,0,3,0,22,5,3,0,3,4,3,0,0,0,20,3,7,4,4,3,0,0,3,0,24,5,14,3,8,17,0,0,0,0,52,3,23,3,13,13,6,0,4,4,61,6,0,4,0,7,0,0,5,0,28,0,5,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,12,40,43,19,5,25,6,212
10601110717,external,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,0,0,0,7,0,0,5,0,0,0,0,0,0,8,4,5,6,0,0,0,0,0,0,12,3,3,0,0,0,0,6,0,0,19,0,6,7,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,18,0,0,0,14,0,0,64,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,3,3,0,0,0,0,14,4,7,0,0,0,0,0,4,0,14,3,0,0,0,0,4,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,7,10,8,7,5,0,51
10601110718,external,0,0,4,0,0,0,0,3,0,8,0,0,3,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,18,3,5,9,0,0,0,3,0,0,17,4,6,11,5,6,0,6,0,0,36,6,0,3,0,0,0,4,0,0,15,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,34,6,4,0,17,3,3,98,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,4,5,5,0,0,6,0,0,0,17,5,9,0,0,6,0,0,0,0,17,3,7,0,0,13,0,0,6,0,25,0,3,0,0,0,8,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,10,11,15,11,6,9,4,91
10601110719,core,0,0,3,0,0,3,0,0,0,5,0,0,3,0,0,0,5,0,0,10,0,0,8,4,0,0,3,4,0,25,3,0,3,0,0,0,10,0,0,18,0,0,3,0,4,0,8,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,27,0,4,6,26,9,4,83,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,7,3,5,3,5,4,0,0,0,4,21,4,6,0,3,7,0,4,4,0,25,0,5,0,3,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,5,20,12,3,3,8,4,74
10601110720,core,0,0,0,0,0,3,0,4,0,10,0,0,3,0,0,0,3,5,0,16,4,4,17,0,0,0,3,6,0,34,0,0,9,0,0,0,9,5,0,37,3,3,8,0,0,0,8,0,0,22,0,0,4,0,0,0,6,0,0,14,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,46,6,4,5,40,19,6,132,0,0,0,0,0,0,0,5,0,9,0,0,3,4,4,5,0,0,0,15,0,7,3,5,6,0,0,4,0,34,0,6,0,6,9,0,0,0,0,25,0,0,0,6,0,0,0,6,3,17,0,3,0,0,6,4,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,4,24,17,18,4,14,0,118
10601110722,core,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,9,0,5,11,0,0,0,6,7,0,28,4,5,6,0,0,0,8,0,0,24,7,0,8,0,0,0,3,0,0,21,0,0,4,0,0,0,9,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,6,36,6,9,4,31,15,0,114,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,8,0,6,5,0,4,4,0,23,0,0,0,3,4,0,6,0,0,16,3,0,0,3,0,0,0,0,0,10,0,3,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,5,17,17,7,6,11,3,79
10601110723,core,0,0,5,0,0,7,0,7,0,14,0,0,14,0,0,0,0,6,0,21,0,0,28,0,0,0,11,5,0,44,7,0,16,0,0,0,13,3,0,40,3,8,7,0,0,0,19,6,0,40,0,3,12,0,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,74,3,4,8,43,24,5,191,0,0,0,3,0,12,0,4,0,18,0,4,4,10,3,4,5,3,0,25,8,5,5,11,3,0,0,0,0,34,3,11,3,3,4,0,0,3,5,34,6,8,4,6,10,6,5,3,0,41,6,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,16,33,26,23,6,22,6,177
10601110725,core,0,0,0,0,0,0,0,3,0,3,0,3,12,0,0,0,0,4,0,16,5,0,22,0,0,0,9,5,0,44,9,6,7,0,0,0,13,0,0,33,7,0,3,0,0,0,6,3,0,17,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,45,6,0,3,31,16,0,122,0,0,0,0,0,5,0,0,0,10,0,3,5,0,6,3,0,0,0,16,0,15,9,4,8,3,5,0,0,40,11,9,0,7,8,0,0,4,0,45,4,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,15,13,28,9,6,10,0,120
10601110726,core,0,0,6,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,4,3,0,16,0,0,0,6,5,0,24,5,0,6,0,0,0,10,3,0,23,3,0,7,0,0,0,12,0,0,22,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,42,0,0,8,29,9,0,98,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,21,0,7,0,9,7,0,0,3,0,28,0,0,0,0,8,4,0,0,0,18,0,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,3,9,23,11,6,7,0,88
10601110727,core,0,0,5,0,0,0,0,0,0,4,0,0,4,4,0,4,0,0,0,13,3,6,22,3,5,0,18,3,0,60,10,3,5,0,0,3,10,5,0,38,5,0,0,0,0,0,4,0,0,14,0,3,3,0,0,0,6,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,36,16,5,7,43,8,3,146,0,0,0,3,0,6,0,0,0,11,0,4,0,8,3,3,0,0,0,20,7,17,5,12,12,5,4,0,5,60,6,15,0,0,8,6,0,0,0,28,4,5,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,10,30,24,14,6,0,0,144
10601110728,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,4,4,0,0,0,0,0,0,0,14,9,3,4,0,0,3,0,4,0,17,7,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,15,9,0,7,3,3,3,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,9,7,3,0,0,4,0,0,0,0,19,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,5,4,8,7,4,3,0,49
10601110729,core,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,11,3,6,10,5,0,5,8,5,0,45,3,8,5,3,0,0,8,0,0,39,5,5,0,4,0,0,9,0,0,22,0,6,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,33,9,3,9,32,5,0,130,0,0,0,0,0,10,0,0,0,8,0,5,0,0,5,0,0,0,0,10,5,10,0,0,4,3,6,3,0,47,4,5,0,4,7,5,0,8,0,33,0,0,0,5,12,0,0,4,0,26,0,3,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,5,15,34,18,4,12,6,135
10601110730,core,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,7,6,4,3,0,0,0,5,0,0,16,5,3,6,0,0,0,0,0,0,21,13,4,10,0,5,0,4,0,0,31,5,6,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,17,10,4,3,5,3,0,96,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,6,0,3,0,0,0,0,0,0,0,7,6,3,3,0,5,0,0,0,0,15,5,5,0,0,5,4,0,0,0,17,5,8,3,5,10,0,0,0,0,28,4,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,3,5,12,5,3,0,0,83
10601110731,core,0,0,0,0,0,4,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,4,0,0,13,7,0,3,0,0,0,4,0,0,18,7,3,6,0,0,0,0,3,0,25,0,0,5,0,0,0,7,3,4,18,9,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,23,3,0,3,22,11,3,92,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,6,4,0,0,0,0,0,0,14,0,7,0,0,9,0,0,0,0,21,3,4,0,0,8,0,0,0,0,24,0,0,0,0,9,3,0,0,0,10,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,6,11,21,9,0,8,0,92
