SA1_CODE_2021,zone_tier,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
10601110701,core,14,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,9,0,4,0,3,0,0,3,0,0,11,3,0,4,0,4,8,5,0,0,21,0,0,0,4,0,0,0,3,0,7,6,0,0,0,0,0,0,0,4,8,0,0,0,0,3,0,0,0,0,11,0,0,4,5,4,0,0,0,0,18,0,3,10,6,10,4,0,0,0,31,0,4,9,5,4,4,0,0,0,22,0,0,5,9,4,3,0,0,0,21,0,0,8,10,3,0,0,0,0,19,0,0,12,17,7,0,0,0,0,38,0,0,3,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,12,29,17,65,62,39,29,12,14,6,271,7,0,8,7,0,4,3,0,0,30,4,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,3,0,0,17
10601110702,core,6,0,0,0,0,0,0,0,0,9,4,0,0,0,0,3,0,0,0,11,3,0,0,5,0,0,5,0,0,12,0,0,0,0,3,3,7,9,0,23,0,0,0,0,0,4,0,0,3,16,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,5,0,0,3,15,3,0,0,4,9,4,0,0,0,26,0,3,3,0,4,3,0,0,0,20,0,0,12,4,0,0,0,0,0,17,0,0,9,4,0,9,0,0,0,22,0,0,5,0,0,3,0,0,0,11,0,0,8,12,5,4,0,0,0,24,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,7,23,14,46,34,27,44,23,12,6,225,9,4,0,0,3,7,0,0,0,23,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,8,0,0,16
10601110703,core,4,0,0,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,4,0,3,0,0,0,3,7,12,0,22,3,0,0,0,6,3,0,0,0,17,3,0,0,0,0,0,0,0,0,11,0,3,4,0,7,0,0,0,0,12,0,3,8,4,5,11,0,0,0,35,0,0,3,10,0,7,0,0,0,29,0,0,9,5,3,3,0,0,0,23,0,4,10,5,4,3,0,0,0,26,0,3,20,20,11,4,0,0,0,59,0,0,6,4,3,0,0,0,0,13,0,0,0,3,3,0,0,0,0,5,0,0,0,0,6,0,0,3,0,13,16,24,63,55,48,45,17,12,0,286,7,0,11,4,6,3,3,0,0,35,7,0,0,0,5,0,0,0,0,12,3,4,0,0,3,6,0,0,0,13
10601110704,external,0,0,0,0,0,3,3,0,0,7,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,5,0,0,0,8,0,0,0,0,3,0,4,0,0,16,0,4,0,0,4,3,6,0,0,11,3,0,0,0,0,0,3,0,0,7,0,0,3,0,3,3,5,0,0,17,0,3,0,0,3,0,0,4,0,16,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,8,0,0,4,3,6,10,0,0,0,23,0,0,4,0,3,3,0,0,0,9,0,0,0,0,6,3,0,0,0,11,0,0,0,0,5,0,0,0,0,7,12,10,18,24,31,41,23,3,0,172,3,0,0,0,4,5,3,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,5
10601110705,external,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,9,0,0,13,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,10,0,0,0,4,5,0,0,0,0,7,0,0,0,6,3,3,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,3,0,24,0,0,0,0,5,0,4,0,0,6,0,0,0,0,3,3,3,0,0,11,0,0,0,0,0,0,5,0,0,7,12,0,11,21,27,32,25,11,0,148,4,0,0,4,0,0,3,0,0,14,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4
10601110706,core,7,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,0,7,0,3,0,0,0,0,3,3,0,11,0,0,0,5,3,0,3,3,0,10,0,3,4,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,4,0,0,0,9,0,0,0,4,5,0,0,0,0,10,0,0,5,8,7,5,4,0,0,19,0,0,0,0,7,0,0,0,0,9,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,14,5,11,20,28,14,29,15,4,145,6,0,0,0,0,4,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
10601110707,core,3,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,3,3,0,0,18,0,0,6,0,0,5,0,0,0,10,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,4,3,0,0,11,0,0,3,3,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,18,0,0,0,0,0,0,0,0,0,4,3,10,9,21,13,26,34,10,0,119,0,0,0,0,0,0,4,0,0,12,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,11
10601110708,core,8,0,4,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,7,0,0,0,0,0,0,5,3,0,8,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,0,0,0,0,8,0,0,4,3,4,0,0,0,0,10,0,0,0,0,5,5,0,0,0,13,0,0,3,4,3,0,0,0,0,11,0,0,0,3,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,5,4,5,4,0,0,9,0,0,0,0,5,0,3,0,0,10,9,12,14,17,26,23,25,7,0,138,3,0,0,0,0,3,6,0,0,12,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,3,0,0,10
10601110709,core,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,5,0,0,11,0,0,0,0,4,0,0,0,0,8,4,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,7,0,0,12,0,0,0,6,3,0,0,0,0,15,0,0,5,0,0,0,0,0,0,8,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,9,7,14,22,23,12,20,5,0,108,8,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
10601110710,core,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,12,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,3,0,0,0,10,0,0,3,0,3,0,0,0,0,12,0,0,9,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,12,7,26,20,5,15,15,8,0,106,7,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7
10601110712,core,3,0,0,0,5,0,4,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,4,0,0,0,0,0,4,7,0,20,0,0,0,3,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,12,3,4,0,5,4,0,0,0,0,22,0,0,0,5,6,0,0,0,0,19,0,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,11,0,0,3,7,10,0,0,0,0,25,0,0,0,5,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,11,10,22,37,39,14,23,17,0,174,6,0,6,5,3,3,5,0,0,26,5,0,0,0,0,0,0,0,0,9,6,0,0,3,0,4,4,0,0,14
10601110713,core,5,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,3,4,3,5,0,0,0,14,0,4,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,6,0,0,0,6,0,0,3,4,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,15,4,14,22,18,17,20,3,0,116,0,0,0,0,0,6,0,0,0,10,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12
10601110714,core,6,3,0,4,0,7,3,0,0,30,5,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,9,3,0,0,0,5,0,0,6,0,16,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,6,0,0,0,14,0,0,4,3,7,0,5,0,0,21,3,3,0,9,0,3,0,0,0,21,0,3,6,5,0,4,3,0,0,20,0,3,8,0,7,0,0,0,0,18,0,0,3,8,4,5,0,0,0,16,0,0,15,16,8,4,3,0,0,42,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,21,18,50,46,36,42,23,6,0,242,8,0,5,4,6,3,0,0,0,31,4,0,4,0,0,5,0,0,0,8,8,0,0,0,0,0,0,0,0,15
10601110716,external,12,5,0,0,0,3,4,0,0,25,10,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,5,4,0,13,0,5,0,0,0,0,6,3,0,15,6,4,0,0,0,7,0,6,0,18,0,4,0,0,4,4,4,5,0,14,0,10,0,0,0,3,0,0,0,17,0,4,4,4,5,3,6,0,0,27,0,0,0,0,0,7,0,0,0,21,0,0,6,4,12,4,3,0,0,28,0,3,3,0,4,3,0,0,0,17,0,0,7,26,14,15,3,0,0,67,0,0,0,11,6,4,0,0,0,17,0,0,0,4,11,3,0,0,0,17,3,0,0,0,3,3,0,4,0,19,33,35,25,57,58,64,38,15,0,323,9,0,6,3,9,7,5,0,0,36,13,0,0,0,0,7,0,0,0,22,9,0,0,3,3,3,0,0,0,21
10601110717,external,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,4,0,3,0,12,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,3,0,10,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,6,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,4,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,7,9,4,8,11,18,18,9,3,4,91,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10601110718,external,5,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,9,0,0,3,0,3,0,0,0,0,9,3,0,0,0,0,0,4,5,0,10,0,0,0,0,0,0,4,0,0,9,0,0,0,0,3,0,4,0,0,6,0,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,4,5,3,0,0,0,0,12,0,0,0,3,3,0,0,0,0,8,0,0,5,4,14,7,0,0,0,31,0,0,0,3,4,0,0,0,0,7,0,0,3,0,4,4,0,0,0,12,0,0,0,5,0,5,0,3,0,12,17,8,24,21,35,29,23,7,0,152,3,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,5
10601110719,core,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,7,0,3,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,11,0,0,3,3,5,0,0,0,0,15,0,0,3,0,0,0,3,0,0,10,0,0,7,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,8,32,23,14,8,10,8,0,107,3,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10601110720,core,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,7,6,0,17,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,3,0,0,7,0,0,3,0,0,0,0,0,0,4,0,9,9,5,0,0,3,0,0,18,0,3,10,4,3,3,0,0,0,19,0,0,4,0,4,3,0,0,0,19,0,0,4,4,0,7,0,0,0,14,0,0,5,6,0,0,3,0,0,17,0,0,12,10,10,3,0,0,0,29,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,12,11,42,36,23,20,20,12,0,185,0,5,0,5,4,6,4,0,0,17,0,0,0,5,0,0,0,0,0,4,3,0,7,0,0,0,3,0,0,11
10601110722,core,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,5,4,0,8,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,4,4,0,0,12,0,4,0,0,0,0,0,3,0,5,4,5,4,0,0,0,3,0,0,9,0,3,11,6,5,0,0,0,0,21,0,0,0,0,3,6,0,0,0,13,0,0,3,4,5,0,0,0,0,13,0,0,4,4,0,4,0,0,0,13,0,0,6,7,7,5,0,0,0,23,0,0,4,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,14,15,32,27,23,29,19,12,0,166,3,0,0,0,3,5,3,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,6
10601110723,core,6,3,0,3,3,0,3,0,0,20,4,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,13,0,0,0,7,0,0,10,5,0,24,3,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,3,5,0,13,6,4,3,0,0,0,3,0,0,18,0,4,3,6,3,0,0,0,0,19,0,0,8,6,4,5,0,0,0,32,0,0,11,6,10,7,0,0,0,29,0,0,3,3,10,3,0,0,0,19,0,0,5,0,6,0,0,0,0,11,0,0,6,13,10,4,0,0,0,36,0,0,5,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,4,0,3,4,0,6,0,0,0,0,16,28,21,54,51,52,29,34,11,3,280,6,3,9,5,9,5,4,0,0,39,7,0,0,0,4,0,0,0,0,16,0,0,5,0,0,4,0,0,0,9
10601110725,core,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,0,6,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,4,3,4,5,0,0,0,20,0,6,3,0,3,0,3,0,0,12,0,0,7,8,5,0,0,0,0,14,0,0,7,6,0,0,0,0,0,13,0,0,10,8,8,3,0,0,0,30,0,0,4,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,9,0,0,4,4,3,0,0,0,0,14,5,19,50,40,24,19,13,3,0,168,4,4,3,0,8,0,0,0,0,22,6,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,8
10601110726,core,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,8,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,4,7,0,0,0,0,0,11,0,0,8,5,10,5,0,0,0,27,0,0,0,6,4,0,0,0,0,5,0,0,0,4,4,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,15,4,27,26,22,11,7,5,0,112,3,0,0,4,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10601110727,core,0,0,0,3,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,4,8,0,0,0,0,0,11,0,6,8,3,0,4,0,0,0,18,0,0,11,3,0,6,0,0,0,20,0,0,5,5,5,0,0,0,0,20,0,0,8,3,4,0,0,0,0,15,0,0,17,8,3,0,0,0,0,37,0,0,0,7,0,0,0,0,0,8,0,0,4,5,0,0,0,0,0,12,0,0,3,0,6,0,0,0,0,12,13,12,66,46,21,17,6,0,0,189,3,0,8,0,0,3,3,0,0,23,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,12
10601110728,core,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,4,0,0,9,0,0,3,0,4,0,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,8,0,6,0,0,0,0,0,0,0,7,0,5,10,9,15,27,20,9,0,99,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
10601110729,core,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,8,0,3,0,5,0,0,0,0,0,16,0,0,9,3,0,0,0,0,0,14,0,0,4,4,0,0,0,0,0,12,0,0,8,0,3,0,0,0,0,17,0,0,8,9,3,0,0,0,0,17,0,0,7,13,7,6,0,0,0,34,0,0,0,10,0,0,0,0,0,16,0,0,4,4,0,5,0,0,0,8,0,0,0,0,4,0,0,0,0,3,11,16,45,41,24,16,10,5,0,169,0,0,0,4,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9
10601110730,core,0,0,0,0,0,5,3,0,0,10,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,4,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,11,0,0,4,0,0,0,4,0,0,9,0,0,5,0,0,3,4,0,0,9,0,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,3,0,0,5,0,0,0,4,3,10,0,0,0,17,0,0,0,6,3,7,6,0,0,16,0,0,0,0,7,15,3,0,0,28,0,0,0,0,0,0,0,0,0,4,11,6,10,14,20,42,34,9,0,149,0,0,0,0,0,11,8,3,0,22,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,4
10601110731,core,9,0,0,0,3,3,0,0,0,12,6,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,5,0,0,3,4,0,0,0,8,0,0,0,0,4,5,0,0,0,12,0,0,0,0,0,3,4,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,5,10,5,5,0,0,0,24,0,0,3,3,6,5,0,0,0,14,0,0,0,0,5,0,0,0,0,7,0,0,0,4,0,0,0,0,0,10,16,9,13,18,27,26,22,8,0,141,5,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,10
