POW_SA2_CODE_2021,zone_tier,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
106011107,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,215,472,314,189,240,240,447,42,2550,14,3,22,24,4,29,0,63,7,169,5,0,11,0,0,0,11,4,0,37,4,0,4,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,5,0,20,36,9,11,10,9,3,5,20,5,113,460,237,523,354,201,276,262,545,52,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106011108,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,9,351,859,443,1240,495,535,259,433,60,4679,9,17,22,52,13,111,4,89,8,323,7,0,8,0,0,4,16,7,0,41,0,0,8,10,0,0,7,0,0,29,6,0,6,0,0,3,6,5,0,21,4,4,0,6,0,0,0,0,0,18,14,6,13,31,16,21,5,22,3,140,390,894,503,1344,521,671,304,570,69,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
106011109,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,84,136,54,53,22,118,146,11,723,3,3,7,4,3,0,3,20,0,40,3,4,11,0,0,0,26,9,4,50,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,16,22,9,7,4,6,0,3,8,0,62,132,97,168,58,62,23,150,187,15,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106011110,external,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,185,212,138,116,91,105,206,17,1235,6,6,16,12,4,14,4,22,3,82,6,0,12,0,0,0,12,7,0,31,11,0,3,0,0,5,0,5,0,22,0,0,0,4,0,0,0,0,0,4,8,3,0,0,5,0,0,4,0,23,41,6,20,8,5,12,4,21,0,114,235,202,256,158,131,127,120,270,19,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106011111,core,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,3,3,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,415,473,399,197,207,236,293,30,2490,3,0,19,13,6,45,7,63,6,160,8,0,11,0,4,0,15,4,3,45,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,6,0,8,0,4,0,0,0,0,0,15,8,7,18,12,12,8,4,20,0,86,270,432,530,426,215,259,277,390,40,2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
106011112,external,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,8,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,9,518,636,1104,644,520,525,849,558,94,5447,13,11,39,37,16,106,19,96,7,360,14,0,14,0,0,0,26,0,4,60,3,0,4,0,3,4,8,3,3,29,0,3,5,0,3,0,0,4,0,13,4,3,5,55,0,0,3,0,0,74,29,16,17,334,17,19,6,23,5,465,588,675,1182,1076,557,653,917,701,119,6472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106011113,external,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,426,1873,55,243,38,2213,337,93,5656,5,3,37,0,0,0,66,27,0,154,9,0,29,0,0,0,14,0,0,50,15,0,0,0,0,0,5,4,0,24,0,0,0,0,0,0,0,0,0,4,8,4,3,0,4,0,4,3,0,35,22,5,9,0,6,4,6,6,0,52,427,438,1957,58,260,49,2308,393,97,5988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106021114,core,0,11,0,3,3,7,0,5,0,25,0,0,3,4,7,4,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,344,1201,444,781,582,370,123,333,53,4230,10,17,22,36,24,71,4,50,3,242,0,0,8,0,0,0,8,7,0,24,3,4,3,0,0,4,6,4,0,20,4,9,10,5,0,0,0,4,0,25,5,3,3,7,4,0,3,0,0,33,16,17,17,10,19,8,0,8,0,92,387,1262,511,850,635,459,144,416,58,4720,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,16
106021116,core,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,105,144,138,59,24,27,66,9,635,4,0,6,4,0,10,0,5,0,41,0,0,3,0,0,0,3,3,0,9,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,7,5,3,6,6,3,6,0,0,0,30,83,111,161,150,67,39,30,74,16,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106021614,core,0,0,0,0,0,0,0,0,0,7,0,0,3,17,0,11,4,17,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,817,616,680,507,690,182,384,44,4369,12,13,25,56,17,127,7,92,6,347,0,0,4,0,0,0,0,4,0,17,0,3,3,3,0,4,3,4,0,26,0,3,5,0,0,0,0,0,0,8,0,6,3,7,0,0,0,0,0,21,0,16,12,20,9,23,0,6,0,92,463,867,674,775,540,861,203,511,59,4946,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,14
106021615,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,151,284,221,451,97,215,90,205,9,1721,6,14,7,16,3,72,5,54,0,184,6,0,6,0,0,0,4,3,0,25,0,5,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,3,3,0,3,5,0,0,0,0,3,0,11,11,6,3,13,5,16,0,17,0,74,169,309,247,487,105,303,105,298,15,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106021616,core,0,0,0,0,0,0,0,5,0,6,0,0,0,5,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,550,279,1312,185,375,330,531,455,53,4076,28,9,40,9,14,21,23,47,7,192,3,0,17,0,0,0,27,0,3,54,0,0,4,0,0,0,6,4,0,22,0,0,4,0,0,0,0,0,0,3,5,7,3,0,4,0,0,0,0,16,8,4,7,7,3,4,5,12,0,37,590,292,1390,209,390,358,602,540,66,4442,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
106021617,core,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,179,153,164,48,61,32,65,9,816,0,5,3,14,4,12,0,14,0,56,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,9,3,7,4,3,4,0,3,0,34,116,195,167,178,53,77,39,95,13,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
106021618,core,0,0,5,0,0,5,3,0,0,14,0,0,0,0,0,5,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,375,783,472,331,243,648,440,58,3749,15,4,31,13,11,51,10,84,8,229,8,0,19,0,0,3,23,18,3,69,0,0,9,0,0,0,6,4,0,18,0,0,6,0,0,0,0,4,0,6,0,0,0,6,4,0,0,0,0,14,5,4,13,5,8,12,10,3,0,55,424,384,862,497,353,314,709,554,72,4175,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
106031119,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51,135,72,38,40,69,78,6,543,3,0,12,7,3,3,0,6,0,36,3,0,12,0,0,0,4,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,8,0,8,5,7,4,0,16,0,41,66,51,165,88,48,51,75,109,4,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031120,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,56,87,92,43,64,15,69,0,491,3,4,11,4,0,7,0,14,0,47,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,10,7,6,0,5,0,45,71,62,104,110,50,78,16,93,10,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031121,core,0,0,0,0,0,0,0,0,0,0,0,3,11,16,0,11,3,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,467,556,727,657,408,522,133,406,48,3928,12,22,38,53,16,84,9,77,5,327,8,0,8,0,0,0,3,12,0,38,0,0,0,3,0,0,3,0,0,16,3,7,3,7,0,4,0,0,0,32,4,3,5,0,0,0,0,8,4,23,29,20,28,44,24,32,0,37,4,212,528,610,838,788,450,655,154,550,64,4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031122,core,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,9,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,833,756,2139,685,724,603,1228,751,142,7858,15,10,60,24,14,87,34,125,7,376,6,0,36,0,0,0,37,16,0,95,4,5,11,3,0,3,4,5,0,38,0,6,0,0,0,0,0,6,0,15,3,0,7,7,7,3,0,0,0,24,14,10,9,21,4,12,5,18,0,85,880,781,2260,734,758,721,1311,934,162,8541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11
106031123,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,78,46,23,0,95,53,9,395,0,0,4,0,0,0,0,7,0,6,0,0,11,0,0,0,14,3,0,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,6,3,5,0,4,0,0,35,65,48,94,49,33,7,107,62,9,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031124,external,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,109,142,50,72,27,96,10,653,5,5,8,14,7,10,0,13,3,60,0,0,3,0,0,0,3,0,0,12,0,0,3,0,3,0,0,0,0,8,0,0,5,5,0,0,0,7,0,17,4,5,0,4,0,0,0,0,0,12,8,3,3,24,0,17,0,3,0,65,89,87,137,178,61,96,30,123,10,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106031125,core,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,673,914,635,255,178,211,261,58,3680,13,6,23,22,9,24,8,50,0,168,5,0,17,0,0,0,18,3,0,50,5,4,12,5,0,0,0,0,0,29,0,3,5,0,0,0,0,0,0,13,6,0,3,3,0,0,4,0,0,25,20,5,12,19,8,9,6,11,5,98,556,701,980,695,282,226,248,330,66,4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106041126,external,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,396,557,1610,485,430,315,1317,543,104,5754,15,19,58,23,14,78,43,78,8,328,3,0,11,0,0,0,11,3,0,28,6,0,12,4,0,0,8,0,0,29,0,0,0,0,0,0,3,7,0,12,7,4,4,0,3,0,0,0,0,25,19,15,10,20,9,29,7,31,3,138,437,595,1703,533,452,430,1392,671,116,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106041127,external,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,102,296,70,83,26,465,175,17,1371,4,0,9,3,6,0,17,10,0,51,4,0,3,0,0,0,12,5,0,19,8,0,0,0,0,0,0,3,0,9,0,0,3,0,0,0,0,5,0,10,10,0,0,0,0,0,0,9,0,20,30,3,8,8,4,8,4,22,0,86,196,111,318,82,88,34,496,223,19,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106041128,external,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,208,358,316,283,202,184,88,409,21,2058,3,12,27,14,3,24,7,97,0,186,0,0,7,0,0,0,14,3,6,29,0,0,0,3,0,0,0,4,0,13,0,0,0,0,0,0,0,18,3,26,5,0,0,3,0,0,0,6,0,15,13,19,10,16,13,10,0,21,0,103,236,394,359,320,214,217,116,551,30,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106041129,external,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,163,222,110,101,56,83,312,23,1277,8,5,17,5,0,9,0,23,0,73,8,0,3,0,0,0,10,4,0,26,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,28,0,8,3,0,0,5,19,0,65,80,17,22,18,11,11,4,47,0,213,344,186,275,141,117,75,105,415,23,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111011206,core,0,0,0,0,0,0,0,0,0,0,0,3,8,11,5,10,0,13,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,406,789,835,641,451,575,303,379,49,4429,16,17,36,28,10,129,11,94,4,342,3,0,7,0,0,0,15,4,0,33,5,6,5,6,0,3,5,4,0,34,4,0,6,5,0,6,0,9,0,26,0,3,0,0,3,0,3,0,0,18,11,8,16,24,12,13,7,22,0,109,439,836,910,717,481,737,337,524,57,5039,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
