SA1_CODE_2021,zone_tier,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
10601110701,core,9,10,23,6,6,15,9,5,14,13,8,22,8,14,18,39,45,86,3,3,7,3,5,10,6,0,6,6,10,14,8,6,9,26,25,46,3,0,10,6,5,10,0,8,12,4,3,12,3,4,9,25,28,53,5,7,17,6,5,15,4,0,9,5,0,5,4,10,14,29,24,53,0,0,3,4,3,7,9,7,11,6,10,6,6,3,13,17,23,41,3,3,8,8,3,13,6,3,11,5,11,18,4,7,12,27,31,58,6,13,14,4,8,14,11,0,11,12,7,13,0,14,18,38,38,74,4,3,9,7,7,14,10,3,18,10,9,17,8,5,11,41,26,68,6,4,7,3,5,9,4,5,9,12,0,8,4,6,9,20,26,44,0,4,4,5,4,13,0,4,11,0,4,4,3,4,7,20,16,39,11,10,16,3,0,4,6,7,12,0,0,0,5,3,8,23,15,42,0,0
10601110702,core,3,7,9,0,5,4,0,4,5,3,4,9,6,0,5,11,21,30,6,0,3,6,3,11,12,4,15,0,0,3,4,0,8,30,13,43,0,3,6,3,3,7,4,0,4,4,9,12,3,8,7,13,19,37,3,0,8,8,5,10,3,3,4,4,9,12,3,3,6,23,18,36,4,0,6,0,5,0,3,4,10,5,0,4,0,3,7,14,13,28,4,5,4,6,3,13,0,8,10,3,10,15,0,3,5,20,30,48,7,4,8,9,5,10,3,5,6,0,5,7,7,0,11,25,17,48,3,3,9,4,0,7,0,10,7,4,0,6,3,4,11,17,24,35,6,3,8,3,3,8,6,0,9,6,0,4,0,4,4,17,19,37,0,0,5,0,8,6,0,0,0,4,5,11,0,0,3,9,13,24,5,4,9,4,3,5,3,0,3,3,0,9,0,3,3,15,18,30,5,7
10601110703,core,13,4,13,12,6,14,12,8,19,8,8,12,9,11,18,43,37,83,6,3,9,8,10,12,5,8,15,15,6,14,0,10,8,27,35,62,4,11,11,12,5,8,0,12,7,9,8,15,6,3,8,29,27,57,7,10,16,0,4,3,0,8,7,4,0,5,3,6,10,16,25,45,0,10,11,4,5,8,4,8,13,10,0,14,3,7,13,24,33,52,0,4,11,7,8,12,9,6,12,7,4,12,5,16,26,27,38,69,8,14,23,11,8,19,3,11,12,7,4,10,7,0,10,31,37,72,11,8,17,8,8,18,8,9,13,5,12,14,6,4,10,34,36,70,3,10,10,4,0,6,5,7,10,8,3,14,4,0,6,25,24,42,0,3,10,3,5,12,3,0,11,3,4,10,5,8,8,20,22,42,0,6,7,14,5,16,3,5,8,11,3,16,3,5,3,24,29,54,0,3
10601110704,external,0,0,0,0,0,4,5,0,5,3,0,4,0,0,0,16,4,14,0,0,0,0,0,0,5,0,4,0,0,0,4,3,9,12,8,20,4,0,4,0,4,5,7,3,7,3,0,9,0,3,6,22,15,33,0,3,4,0,0,0,7,0,7,6,0,7,5,4,3,12,13,24,3,5,9,3,4,3,5,0,3,0,3,3,0,4,4,10,15,27,0,0,0,0,0,0,6,0,3,0,8,7,4,0,4,12,11,20,0,0,5,4,0,3,4,0,4,0,7,5,0,0,3,11,8,14,0,0,0,10,0,9,0,0,3,3,0,3,0,3,3,9,9,19,3,3,5,0,0,3,3,0,5,3,4,5,0,0,3,10,13,18,3,0,3,0,4,6,7,3,11,8,3,6,6,8,8,20,17,37,0,3,3,7,4,10,9,0,9,0,3,3,3,3,4,14,19,34,3,0
10601110705,external,4,0,4,0,4,0,6,0,6,3,7,3,3,3,4,8,13,19,0,0,7,4,0,7,0,3,5,0,0,3,0,11,11,12,20,23,0,4,4,0,0,4,0,3,3,4,0,7,0,4,4,8,15,21,3,4,5,3,0,3,3,0,3,5,6,4,0,0,6,12,11,23,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,5,10,3,0,5,0,0,0,0,4,8,5,4,6,0,0,0,9,10,20,0,0,0,0,5,3,0,3,10,3,4,6,3,4,12,9,13,27,3,0,5,4,9,7,3,4,4,0,5,6,0,4,6,16,17,28,4,0,4,6,3,4,0,0,6,3,0,5,3,5,11,16,15,32,4,3,7,0,5,5,0,0,0,5,3,4,4,3,8,14,11,30,3,4
10601110706,core,0,0,3,5,4,4,0,0,3,4,0,7,0,3,7,9,9,22,4,0,3,0,0,5,3,0,8,3,0,3,0,0,0,11,9,17,0,6,4,0,4,5,0,5,4,3,0,4,0,6,4,9,12,27,3,3,5,3,0,12,3,0,4,5,3,9,3,3,4,14,15,30,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,8,10,0,4,3,0,5,3,0,0,3,0,0,4,3,3,9,12,10,18,5,4,8,0,0,0,0,0,0,4,6,10,0,0,0,11,7,19,0,5,8,0,8,6,0,0,0,0,0,5,0,0,4,11,15,23,0,4,7,0,0,0,5,3,8,5,4,10,4,6,3,15,12,23,3,0,7,5,0,3,3,7,11,0,0,3,0,3,5,13,16,29,0,4
10601110707,core,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,6,0,3,3,0,5,0,0,0,0,4,0,4,0,3,3,4,6,13,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,3,7,11,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,5,7,4,3,6,0,0,3,3,0,3,0,0,0,0,0,0,10,10,13,0,0,0,0,0,4,6,0,3,5,0,0,0,0,0,3,11,18,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,5,8,0,3,3,3,0,0,0,4,4,0,5,4,0,0,0,7,10,14,0,0,5,0,0,6,6,0,6,0,0,3,0,0,6,14,3,18,0,0,0,0,0,5,0,0,0,3,0,6,0,0,0,6,5,7,0,3,3,0,3,6,0,3,5,0,0,0,0,4,7,10,12,21,0,0
10601110708,core,5,0,3,4,3,3,4,0,5,3,5,8,0,0,4,14,7,24,0,0,0,4,3,3,0,0,4,0,4,5,0,0,3,9,11,26,5,0,3,0,3,0,0,5,8,0,6,6,0,0,6,11,10,20,4,5,6,0,0,0,0,0,0,0,4,6,0,0,0,9,7,16,6,4,6,0,0,0,4,7,3,0,0,0,0,0,0,12,8,22,0,0,0,3,0,4,0,0,0,0,8,5,0,4,4,4,16,18,0,0,0,4,0,4,0,0,0,0,0,4,3,0,4,9,0,13,0,0,0,3,0,3,5,0,3,4,4,9,4,0,4,13,7,19,0,3,3,0,0,0,0,0,4,7,0,7,4,3,4,7,11,20,0,0,3,0,0,4,0,0,0,0,4,4,0,8,7,0,13,20,0,0,0,9,7,12,5,0,5,6,0,6,4,0,3,22,13,31,3,0
10601110709,core,4,0,7,0,0,6,3,0,6,0,0,0,6,0,11,15,4,24,4,0,3,4,4,5,0,0,0,0,0,3,7,0,5,13,12,27,0,7,5,0,3,10,0,0,0,6,0,6,0,0,0,3,11,16,0,4,8,0,4,3,3,0,3,0,0,5,0,5,4,9,13,21,5,0,0,0,4,4,0,0,0,0,3,3,0,0,0,7,8,16,0,0,3,0,4,4,0,4,3,0,0,0,0,0,0,6,6,13,4,0,7,0,6,3,0,4,4,3,4,9,0,3,5,11,11,21,0,0,0,3,4,9,3,0,3,0,0,0,0,3,4,12,4,14,0,0,3,0,3,3,0,0,5,0,0,0,0,3,0,6,13,18,0,4,4,0,0,3,7,0,3,3,0,4,3,5,8,8,15,25,3,4,3,4,0,4,0,0,3,3,0,7,3,4,4,13,6,20,0,0
10601110710,core,3,6,5,3,0,3,0,0,0,0,3,3,3,0,6,9,10,21,0,0,6,3,6,5,3,0,3,0,0,0,4,0,4,12,9,19,0,0,0,5,0,5,6,3,9,3,0,3,7,0,6,9,4,15,3,0,6,4,3,9,6,0,0,0,3,0,0,0,0,12,9,21,0,3,4,4,0,3,0,0,0,4,0,4,3,7,6,7,9,18,0,4,5,4,0,5,3,4,10,0,0,0,0,0,0,11,8,25,3,4,6,4,0,5,0,0,0,4,0,5,0,4,5,7,13,19,5,3,3,0,0,0,0,0,0,0,3,8,4,0,9,8,10,17,0,0,6,0,0,0,3,0,5,0,0,0,0,0,0,6,5,13,0,6,6,0,3,3,0,0,0,0,0,0,0,4,4,3,7,8,5,0,3,0,0,0,3,0,4,0,6,5,0,5,5,7,11,16,0,0
10601110712,core,0,0,0,8,0,8,4,0,3,4,0,9,6,4,13,21,8,31,4,0,10,4,0,0,6,0,6,6,3,6,0,3,5,24,9,33,3,7,9,0,8,8,5,0,8,4,0,3,3,4,8,16,16,35,0,3,4,6,0,5,0,3,6,3,4,7,3,0,4,11,14,26,0,0,3,0,5,3,4,5,7,4,5,8,0,3,6,10,12,28,3,4,3,5,0,6,3,7,7,0,0,5,9,5,6,11,12,29,3,0,3,4,0,5,3,3,6,0,4,3,0,7,7,10,10,25,0,0,0,10,3,13,3,5,5,4,6,7,3,4,9,20,14,40,5,3,6,0,5,4,0,7,4,5,0,5,0,0,4,15,18,27,5,4,4,6,5,8,7,7,8,6,0,13,0,0,5,18,18,36,0,5,3,7,0,3,0,0,0,0,0,0,4,3,7,15,9,22,0,0
10601110713,core,0,0,3,0,3,4,0,0,0,0,0,5,0,0,3,8,3,16,4,0,4,0,0,0,3,3,4,3,3,6,0,0,4,13,12,24,0,5,7,0,4,3,3,0,5,3,0,9,9,3,10,14,12,29,5,5,7,5,4,7,4,10,11,0,0,5,0,0,4,15,15,34,0,0,0,0,0,0,0,0,3,6,0,6,4,0,5,4,4,12,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,5,3,6,0,0,6,0,0,0,0,0,0,0,8,8,3,0,9,10,5,14,0,0,0,0,0,4,0,4,4,0,3,9,0,5,5,3,9,13,4,0,4,0,0,9,10,0,10,0,5,6,0,0,0,16,14,27,4,0,6,4,4,4,0,0,0,0,0,7,4,4,4,12,11,22,3,3,8,0,0,3,0,4,7,0,0,0,0,3,3,11,10,23,0,0
10601110714,core,0,11,12,7,0,12,6,6,7,5,5,11,6,5,12,29,28,53,15,4,21,6,3,6,7,7,8,6,3,12,3,3,4,30,24,56,0,6,3,6,4,11,9,3,17,7,6,14,3,8,14,23,27,51,6,7,7,8,7,9,3,5,8,4,8,8,4,5,12,21,24,44,3,4,12,0,0,4,3,8,7,0,0,0,7,0,8,18,12,36,9,5,8,4,10,14,5,3,12,10,3,17,4,7,14,24,31,50,4,5,11,7,9,12,3,7,9,4,5,11,0,5,9,21,33,53,0,5,6,6,7,11,6,0,8,10,0,12,6,8,8,27,24,52,6,7,11,4,4,6,3,6,12,5,11,17,0,4,4,18,30,46,0,3,7,0,0,8,0,4,6,0,0,4,5,0,7,16,13,29,0,6,9,8,3,11,4,3,8,3,3,8,0,7,11,16,16,42,3,9
10601110716,external,3,0,7,8,6,14,3,5,5,0,6,10,13,10,23,29,29,60,4,9,8,6,6,10,3,8,9,13,4,16,7,3,14,36,27,62,11,6,14,5,5,10,7,0,8,5,10,16,8,0,10,40,23,59,10,5,16,3,9,13,10,12,22,10,6,13,5,0,13,33,38,69,9,8,16,12,7,11,10,5,13,0,4,6,8,0,3,35,23,51,4,3,5,0,0,7,3,0,3,0,0,7,3,4,6,11,14,21,0,5,5,3,6,11,5,0,5,8,3,8,5,3,8,13,20,33,10,4,13,7,8,15,11,10,19,4,5,11,6,8,12,34,35,73,11,4,13,0,8,8,3,3,3,6,3,11,3,5,13,20,21,44,5,7,10,0,9,9,6,6,16,4,5,9,4,6,6,23,29,51,11,9,21,3,7,17,12,5,18,6,3,7,5,9,14,39,41,80,5,13
10601110717,external,3,0,5,0,6,6,0,6,6,0,0,0,0,0,0,3,8,9,0,0,3,3,0,3,8,0,7,0,5,4,4,0,4,11,9,17,0,0,6,4,3,3,6,4,4,0,0,0,0,0,0,9,11,22,3,0,3,5,0,5,0,0,3,0,0,0,0,0,3,9,3,12,0,0,0,4,0,4,6,0,6,0,0,3,0,0,0,4,0,10,0,0,0,4,0,4,0,0,0,3,4,3,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,0,0,0,0,0,0,6,0,5,0,0,0,3,0,7,7,3,12,5,0,3,0,3,3,0,0,3,0,3,4,0,3,3,8,7,13,3,0,3,0,0,0,0,0,4,3,0,5,0,0,0,9,9,14,0,6,6,0,0,0,3,0,8,3,0,6,4,0,4,10,11,26,3,4
10601110718,external,0,0,4,0,0,4,4,3,4,0,5,7,3,0,4,15,7,22,0,5,7,0,5,8,4,0,3,0,5,5,0,5,5,13,13,21,3,7,7,0,4,5,3,4,9,0,0,0,0,9,9,8,20,29,5,0,4,3,3,4,3,0,3,4,7,8,3,0,6,17,8,25,0,4,4,0,0,0,6,3,4,0,0,0,0,0,0,8,7,12,0,0,0,5,0,5,6,0,0,0,0,4,3,6,3,12,8,18,3,5,5,3,5,9,0,0,0,4,0,7,0,9,5,12,14,27,4,0,8,0,0,0,4,0,6,0,0,0,4,3,5,12,12,20,0,0,0,0,4,4,4,6,7,5,3,6,6,5,5,9,11,24,3,3,4,5,4,6,4,0,4,3,3,3,0,6,5,12,18,34,9,5,12,7,3,13,3,0,3,0,6,4,0,0,0,15,19,33,0,0
10601110719,core,6,0,4,0,0,0,7,0,9,0,0,3,0,3,3,12,5,25,4,3,5,4,6,6,0,0,0,0,3,9,3,5,7,12,15,26,5,0,7,0,5,5,0,4,4,0,0,0,0,3,4,8,7,17,0,3,0,3,0,0,0,5,5,0,0,0,6,0,4,6,13,19,0,0,0,4,0,3,4,0,4,0,0,3,3,0,4,8,7,19,3,3,7,0,5,5,0,0,3,5,0,5,4,5,9,19,8,29,3,3,9,0,0,4,0,0,0,6,0,13,3,0,4,14,11,25,0,0,5,3,0,3,0,0,6,0,0,7,3,3,7,12,17,25,5,5,8,0,0,0,0,4,3,4,0,4,0,0,0,6,12,18,0,0,0,6,0,7,3,0,0,0,0,0,0,0,0,10,11,13,0,0,0,0,0,0,3,0,3,3,0,3,0,3,7,9,4,16,0,0
10601110720,core,9,0,6,0,9,8,7,4,10,3,3,6,3,0,9,20,20,39,10,4,12,11,3,16,0,3,9,0,4,5,3,4,9,28,25,49,0,9,7,5,0,8,3,0,5,3,0,8,3,4,6,14,20,38,3,3,7,3,0,3,6,3,7,4,5,8,0,4,5,12,14,26,4,0,5,0,0,4,5,7,12,0,5,4,7,3,10,11,16,35,8,4,13,12,4,9,0,3,4,7,9,8,3,6,9,24,25,44,0,5,0,0,4,7,3,4,10,7,7,15,4,3,8,24,17,39,9,5,15,3,6,10,12,3,10,5,0,11,0,0,4,30,22,49,0,7,4,0,3,3,4,0,3,0,3,3,0,0,3,7,14,23,5,3,5,3,4,6,0,4,5,7,0,3,3,0,8,14,8,20,4,6,10,0,7,7,0,0,7,0,0,5,3,5,10,15,20,34,0,0
10601110722,core,0,0,7,0,3,4,4,3,9,3,3,11,3,0,3,16,5,21,0,0,0,4,4,7,6,0,3,3,3,6,0,3,4,13,9,24,3,9,7,5,7,7,4,0,4,5,6,8,0,0,5,14,17,28,3,0,5,0,0,5,0,0,5,5,4,9,0,0,5,14,3,23,4,3,4,6,0,5,0,0,0,5,0,5,0,0,4,15,11,19,0,0,4,8,4,9,0,3,9,7,0,4,0,4,3,19,17,36,0,3,3,0,5,4,5,4,6,4,3,9,0,3,5,12,17,27,8,0,8,6,3,10,4,3,7,0,0,0,0,0,8,14,12,22,3,0,0,0,3,3,3,0,9,0,0,3,0,0,0,12,7,22,0,0,0,0,0,0,0,0,6,4,0,3,0,0,3,4,10,21,4,0,4,0,0,3,0,0,0,0,4,3,0,5,7,11,5,19,4,3
10601110723,core,0,5,10,3,3,9,7,4,13,7,0,4,0,4,9,23,20,47,4,9,11,3,3,5,5,0,6,5,4,6,4,9,12,21,23,50,3,6,10,6,3,10,6,5,18,6,4,7,9,9,15,27,31,60,8,14,17,3,3,8,4,8,13,3,0,11,8,3,7,28,30,57,0,3,10,5,8,9,0,6,7,4,11,14,11,3,9,21,36,56,8,9,15,6,6,11,13,6,21,10,4,11,4,0,5,30,32,62,6,7,11,0,4,10,3,3,5,0,6,10,3,10,11,17,30,43,3,0,7,0,7,6,0,5,11,5,5,8,8,4,3,18,16,36,6,9,14,9,8,9,0,3,5,10,3,11,6,0,12,31,24,53,3,7,7,5,10,19,16,11,20,0,10,11,0,6,8,30,33,57,3,4,4,7,8,13,5,5,8,5,5,11,0,3,7,22,26,51,0,0
10601110725,core,8,5,8,0,0,5,7,7,10,0,8,8,8,6,12,23,22,42,3,3,10,0,8,13,0,4,13,3,0,9,5,3,14,21,25,46,0,5,3,0,0,7,9,4,5,3,0,9,5,3,9,22,18,42,3,5,6,0,5,5,3,0,5,0,0,0,0,4,4,5,16,17,8,3,12,0,8,6,0,0,3,4,3,3,5,7,7,19,17,40,5,4,10,3,4,10,3,5,11,3,0,7,3,8,13,24,23,50,3,8,14,4,0,4,7,6,16,5,11,13,6,5,9,30,25,56,0,4,3,0,6,9,6,3,7,3,6,8,5,7,9,6,23,33,6,4,14,7,5,3,0,7,10,12,8,14,10,3,13,27,25,54,4,3,8,0,0,0,0,0,0,5,4,12,0,5,4,14,18,29,0,3,9,0,0,0,6,4,11,6,0,3,0,0,3,13,13,25,4,3
10601110726,core,5,0,8,3,0,7,0,5,9,0,3,9,7,0,10,19,9,25,0,3,5,8,5,12,4,0,6,3,7,10,0,3,8,18,21,43,3,5,13,0,0,0,0,0,3,4,3,7,3,5,10,13,14,31,6,0,9,0,6,8,3,0,4,0,3,0,3,0,3,15,10,25,0,0,0,4,0,4,0,0,0,0,0,8,0,3,3,4,6,13,3,0,3,3,6,7,0,0,4,0,0,4,0,3,3,9,8,18,0,5,3,7,5,9,4,0,6,7,0,5,0,5,3,19,15,38,4,9,6,3,4,3,0,3,3,8,0,10,3,7,5,9,22,35,10,5,13,0,0,4,0,3,0,3,5,3,0,0,0,18,12,29,5,4,9,0,6,7,6,6,3,0,0,0,3,0,0,9,14,28,0,0,0,0,3,4,4,0,3,0,0,7,0,5,3,8,14,18,0,0
10601110727,core,10,3,15,11,7,18,4,4,11,11,4,17,9,0,13,49,17,66,9,6,9,4,5,12,6,3,12,3,3,7,3,6,8,29,22,49,5,0,6,0,4,4,9,8,8,3,3,4,4,5,12,21,23,44,0,0,3,0,3,5,3,4,8,0,0,0,3,6,6,13,19,28,0,4,4,5,5,6,3,5,9,0,3,9,4,10,17,12,26,41,9,6,9,7,12,19,11,11,16,11,3,18,9,6,16,36,38,80,3,8,14,7,7,11,9,12,21,3,3,11,9,5,15,27,40,68,4,7,14,8,6,10,5,5,10,5,4,11,0,6,6,27,27,52,3,0,0,0,7,6,4,3,9,4,0,4,6,5,8,20,18,32,3,0,4,0,3,4,0,0,0,6,4,4,0,3,0,10,5,17,0,4,3,0,0,4,4,0,4,3,0,3,0,5,0,7,12,21,9,0
10601110728,core,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,3,7,10,7,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,4,0,4,3,0,6,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,5,9,4,0,4,0,0,0,0,0,0,0,4,3,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,8,3,0,6,0,0,0,0,0,5,0,3,0,5,0,5,7,4,12,6,0,0,0,0,6,0,0,3,0,3,0,0,0,3,5,12,13,8,0
10601110729,core,3,7,14,11,3,15,3,5,11,13,5,18,4,9,12,33,37,67,10,7,10,6,5,15,3,9,9,0,9,12,0,3,4,23,35,58,5,5,12,0,0,4,0,4,9,0,5,5,0,7,4,11,18,30,0,3,3,5,0,5,3,0,8,4,0,8,4,3,7,11,13,28,4,0,0,4,0,5,0,3,4,6,5,8,5,4,9,16,14,29,6,4,10,4,3,7,0,0,3,5,10,16,6,13,18,20,26,52,5,8,9,3,4,8,0,3,3,8,10,16,7,6,10,22,25,44,3,0,6,5,6,14,0,8,8,7,4,15,8,8,10,22,31,50,4,10,8,9,8,8,3,0,9,0,0,0,0,5,5,16,16,33,0,3,4,6,0,6,0,5,0,3,3,7,3,6,11,15,16,30,3,6,13,0,3,3,4,3,8,3,0,0,0,3,10,13,17,28,6,3
10601110730,core,6,0,4,0,0,0,4,0,4,0,0,0,0,3,3,5,4,4,0,3,3,0,3,3,4,0,3,0,0,5,0,0,3,5,14,17,3,0,3,0,0,0,5,0,8,0,5,4,0,0,0,11,6,16,6,0,6,4,0,5,6,0,6,0,0,5,0,0,3,11,4,15,0,0,3,3,0,3,0,0,0,4,0,4,0,6,6,6,10,12,0,0,0,4,0,4,0,0,0,0,3,6,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,5,4,0,3,4,4,3,4,0,4,0,3,3,3,3,4,6,8,16,0,0,4,4,6,6,0,0,0,0,0,0,0,0,4,8,11,18,0,0,0,7,3,8,6,0,3,0,5,5,3,0,3,13,9,21,0,3,3,4,0,3,0,5,6,3,0,4,0,8,5,8,13,24,5,0
10601110731,core,0,0,0,0,0,4,3,0,4,0,0,0,0,0,6,9,3,13,0,6,6,5,0,7,3,4,8,8,4,11,7,6,11,13,12,35,4,9,10,4,8,13,0,3,6,3,4,4,3,0,3,19,14,38,8,6,9,4,0,3,3,0,7,0,3,3,0,0,5,16,11,23,0,0,4,0,0,3,0,5,4,0,0,0,0,0,3,9,8,15,0,0,3,0,0,4,0,0,0,0,0,0,0,3,3,0,8,14,0,0,0,0,3,4,0,0,0,0,4,5,0,0,0,8,9,16,3,7,8,4,0,8,0,0,4,3,0,3,0,0,0,17,12,21,0,0,4,0,5,5,0,5,13,0,4,4,7,0,5,6,15,24,0,0,7,4,7,5,3,3,7,4,0,3,3,0,6,17,13,30,4,4,11,0,3,4,0,0,0,0,0,3,0,0,4,13,11,27,0,0
10601110732,core,8,14,17,4,5,14,7,6,16,7,6,19,3,7,12,37,39,77,10,5,18,8,4,8,3,3,9,5,3,5,4,3,7,30,19,50,0,3,10,4,0,7,9,8,13,3,6,11,4,3,6,23,22,43,0,0,3,7,0,3,0,0,0,3,6,5,3,5,3,14,11,20,0,0,4,4,0,3,3,5,3,3,5,6,0,10,7,10,17,30,0,0,3,5,5,9,5,9,18,6,10,19,4,7,15,24,36,59,7,5,12,10,9,19,10,10,23,11,6,14,0,9,11,41,40,86,9,12,15,11,8,17,4,8,7,0,5,5,9,4,12,29,31,57,9,3,15,0,5,4,3,3,8,0,4,3,5,6,8,21,22,44,3,0,3,0,4,4,4,3,4,3,3,3,0,0,5,9,13,19,6,0,6,4,6,4,4,5,11,0,0,0,0,0,0,9,6,20,0,5
10601110733,core,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,9,7,11,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,8,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,4,5,13,4,0,5,0,4,10,0,6,4,0,0,3,0,5,5,3,12,19,0,3,0,0,0,3,0,4,5,0,4,6,0,6,3,4,10,18,0,0,3,0,0,0,3,4,4,4,0,6,8,3,10,14,11,22,4,0
