edge_id,osm_way_id,name,road_class,length_m,corridor_class,is_corridor_trunk,dist_to_alignment_m,oneway_flag,oneway_source,num_lanes_per_dir,num_lanes_source,speed_limit_kmh,speed_limit_source,lane_width_m,lane_width_source,turn_lanes,turn_lanes_source,kerbside_use,kerbside_source,capacity_veh_hr_lane,capacity_source,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,dist_to_base2026_m,scenario_variant_ref
w880437939,880437939,Hunter Street,secondary,22.5,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,0.6,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,0.6,3.2,3.2,0.6,base2026
w1224930744,1224930744,Scott Street,tertiary,13.4,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,1.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,1.0,1.1,1.1,1.0,base2026
w1324848034,1324848034,Stewart Avenue,trunk,10.9,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,1.4,1,osm,2.0,osm,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,1.4,4.3,4.3,1.4,base2026
w170539325,170539325,Stewart Avenue,trunk,41.5,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,1.4,1,osm,2.0,osm,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,1.4,7.8,7.8,1.4,base2026
w654397477,654397477,Scott Street,tertiary,52.1,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,1.6,1,osm,1.0,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,1.6,4.0,4.0,1.6,base2026
w880437940,880437940,Darby Street,secondary,20.3,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,1.9,1,osm,1.0,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,1.9,4.0,4.0,1.9,base2026
w327722943,327722943,Steel Street,tertiary,104.4,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,2.0,1,osm,1.0,osm,50.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,2.0,5.3,5.3,2.0,base2026
w80503133,80503133,Scott Street,secondary,126.0,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,2.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,tram_lane,osm,1400,imputed_rule,2.0,2.3,2.3,2.0,base2026
w630403513,630403513,Hunter Street,secondary,50.5,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,2.1,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,2.1,55.4,55.4,2.1,base2026
w630409400,630409400,Scott Street,tertiary,99.3,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,2.1,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,tram_lane,osm,1200,imputed_rule,2.1,0.3,0.3,2.1,base2026
w172992334,172992334,Bolton Street,residential,90.8,corridor_cross,0,2.2,1,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,2.2,5.6,5.6,2.2,base2026
w1413391461,1413391461,Watt Street,secondary,23.6,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,2.5,0,imputed_rule,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,2.5,2.5,2.5,2.5,base2026
w630403517,630403517,Watt Street,secondary,5.0,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,2.5,0,imputed_rule,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,2.5,2.5,2.5,2.5,base2026
w665238120,665238120,Worth Place,tertiary,104.1,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,2.9,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,2.9,15.0,15.0,2.9,base2026
w630403516,630403516,Scott Street,tertiary,93.4,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,3.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,tram_lane,osm,1200,imputed_rule,3.0,4.9,4.9,3.0,base2026
w859623594,859623594,Scott Street,secondary,154.1,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,3.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,tram_lane,osm,1400,imputed_rule,3.0,4.7,4.7,3.0,base2026
w1224930742,1224930742,Scott Street,tertiary,19.1,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,3.1,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,3.1,6.7,6.7,3.1,base2026
w764481382,764481382,Watt Street,secondary,31.3,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,3.5,0,imputed_rule,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,3.5,7.4,7.4,3.5,base2026
w880838119,880838119,Auckland Street,tertiary,14.5,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,3.6,1,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,3.6,10.2,10.2,3.6,base2026
w1111206001,1111206001,Newcomen Street,residential,14.8,corridor_cross,0,3.9,1,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,3.9,7.6,7.6,3.9,base2026
w1324848035,1324848035,Stewart Avenue,trunk,11.3,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,4.1,1,osm,3.0,osm,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,4.1,9.7,9.7,4.1,base2026
w630409402,630409402,Merewether Street,secondary,13.2,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,4.2,0,osm,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,4.2,10.7,10.7,4.2,base2026
w575626859,575626859,Stewart Avenue,trunk,30.7,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,4.4,1,osm,4.0,osm,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,4.4,9.7,9.7,4.4,base2026
w32776792,32776792,Pacific Street,residential,5.2,corridor_cross,0,4.5,0,imputed_rule,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,4.5,4.0,4.0,4.5,base2026
w630409399,630409399,Pacific Street,residential,210.2,corridor_cross,0,4.5,0,imputed_rule,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,4.5,3.7,3.7,4.5,base2026
w886599916,886599916,Scott Street,secondary,174.7,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,4.6,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,4.6,12.0,12.0,4.6,base2026
